tarih,ATM_01_Levent,ATM_02_Beşiktaş,ATM_03_Şişli,ATM_04_Fatih,ATM_05_Bağcılar,ATM_06_Bakırköy,ATM_07_Zeytinburnu,ATM_08_Eyüpsultan,ATM_09_Sarıyer,ATM_10_Maslak,ATM_11_Kadıköy,ATM_12_Üsküdar,ATM_13_Ataşehir,ATM_14_Maltepe,ATM_15_Kartal,ATM_16_Pendik,ATM_17_Tuzla,ATM_18_Beykoz,ATM_19_Ümraniye,ATM_20_Sultanbeyli
2023-01-01,90356.32849694711,63131.48641877979,61784.41857360326,55413.90859052329,110579.31444182097,38369.981937638855,46269.70184154802,32204.003587989424,27491.441006811805,40055.576680491286,75092.01189247184,46537.2831562728,144864.18215465022,38910.04895538893,41194.80726886731,27316.86874372932,14036.572462024145,18597.24065851463,44982.76928512384,25055.91578883746
2023-01-02,47638.6486379484,37617.68133628966,50296.80233186316,51179.25865555006,54064.88308154925,35755.91391200802,30364.681411296566,20912.439324150455,28085.54363223369,47963.57057896,53508.67598503584,53328.18397078512,71695.30738258157,37651.6238526622,35546.40850388833,24496.796966391965,27182.495574336677,27128.007783492772,54572.600369318476,20752.32623714287
2023-01-03,68246.65667951365,35862.42127802472,52820.99626347174,41121.69098815072,50772.78934581888,37565.961698916486,29000.013654134393,33298.89191582514,21037.618109914314,71794.96818074207,57216.57325394983,46995.624807817636,71787.79026305689,28672.765074365565,35807.9319042978,30631.44091071929,27562.484154909485,18077.81481085033,54879.271571124125,20666.53388762949
2023-01-04,75368.21390878865,45209.02525415317,49360.53900582428,47248.27323580778,71790.71185035807,29705.714202702762,36628.99229768902,39024.154258469745,24793.68058386755,58262.3522386169,59232.599803864694,39982.28829863575,58817.75285309972,31029.28601960342,43337.324646090274,33858.05364990553,31889.346308697415,26002.423427435522,37133.21495023999,23250.768156680668
2023-01-05,42122.18545166244,53238.994216868305,56411.9340525308,52214.87635551374,85152.38711271873,33907.593856778796,39580.44869110576,41591.33339548453,26037.173800012424,54996.544159353565,61530.110555758365,44621.9443617223,84768.86024190208,30130.25765712432,52881.237571481535,26003.18323492092,40016.608328130234,20748.302073471034,44085.381343167726,24976.729880039235
2023-01-06,60364.68148837866,57412.922981065916,68673.12381521822,63652.11126598144,85875.49598013164,47350.03511650252,34828.376263314225,42634.96275242527,42280.372983530055,79074.98906607096,72951.68739163467,57262.16973399968,82633.41259299555,51233.884731742946,54858.59109890226,42814.04967951376,43782.33383519603,25760.54392723574,58449.5241163002,27365.179159498
2023-01-07,115436.79418228558,81709.51423736739,86801.0122979391,66329.35976120923,89545.79183760722,47331.889669655444,52681.97661658954,45988.9931111501,47304.76338462311,46638.52181976796,75187.43153163677,67010.7997669341,117858.92894555088,51669.743406379406,64761.398417364486,39694.67213430986,24619.885289588117,40058.10079348152,74409.96938525744,25418.713488549412
2023-01-08,78969.83171712542,56879.96345334357,65800.68533444962,49898.74174704515,66456.0512754847,31008.357521051425,41073.32414574748,43137.808827895155,32641.651212248697,30615.034021113042,81714.67614388859,37741.664357891255,108232.89484653744,40185.51876093797,41190.68471902792,32872.25331922062,20261.136670613563,29110.57085881479,37671.74123255789,24583.936332516438
2023-01-09,59779.337469351995,49348.58268117106,37885.63722196548,42825.364469355336,46411.38214457347,33957.89979756929,34360.33062284113,39850.29866473535,21530.47968128298,67807.08982239559,43989.10122000422,31806.6599217728,46861.78382302707,29031.06009068786,32863.8462046335,36278.12987558566,31733.16963894218,22156.383666714893,33652.234004613994,25006.43012697895
2023-01-10,48051.55238742431,45403.41024106558,32900.97977958755,31432.067532490564,41605.22064655608,33461.473627262196,29987.7656119926,35072.56314397174,24820.013065239695,53388.96128421077,49622.34659380935,34350.945955646326,92066.9353803569,41251.506605135146,40023.39780729057,31601.20125025422,27489.264836432445,23514.936743636346,46405.30013352639,23259.51565415708
2023-01-11,74503.29379319215,65008.6354870402,60537.71051092464,45192.47756052564,66594.432292887,33412.917034112754,33274.00794254505,26103.8483897263,24415.566081758552,70220.59276575815,52650.26349593323,35906.27246377113,71430.64966667042,32781.470348799056,39049.465327742655,33403.21716050963,35144.72979924346,20834.65975850581,32468.56380740752,29515.22839035704
2023-01-12,76924.96111510621,44624.45417030257,65971.54029223193,33638.11313380008,87916.21569191199,35840.466867693416,37366.39891838559,33472.13081953454,33928.18116326266,71802.18881731665,59376.3489061885,40037.15354372421,96038.5382450119,37994.85064467676,31444.113066374044,42614.25187934642,37536.605697002975,23071.30917190032,44256.12409184913,35436.955183975806
2023-01-13,81722.04453053215,40839.16514442871,56310.73022590091,45977.265969689186,85029.98641397218,42045.97069128889,48586.940842484604,43305.65128791417,44423.71120840679,81485.87435892833,64042.79601523211,61820.78273328452,71053.30170008249,51258.06382667629,47057.377782162504,33957.70380784269,43206.78888893582,25651.883849760092,60982.42884223229,35927.035175160774
2023-01-14,144099.5169331907,85788.35028472019,55541.95265887428,74720.5132435189,72412.45046748722,56238.48800493726,60319.3525762455,33610.89094092768,49500.71556751557,41057.310583240345,82680.8823806044,61346.644175754984,102579.73442350976,44625.65155231869,55810.757671498126,36822.023262604765,15965.73249601302,38080.557082029314,72429.45226862328,45438.123925228676
2023-01-15,94010.23278787278,45576.46980622211,58450.89926375793,52092.78858216332,86120.08789114002,31885.945202797087,49334.541350403655,37349.39979775497,27441.453450961475,34457.80612096986,57444.472805822654,49239.000607567985,73417.26800341262,35489.184340999425,39146.92176077775,29048.724623655096,13448.335472810299,21893.13301564781,49694.696649804166,30867.84732461879
2023-01-16,49760.613232860625,43643.35754226893,58563.08785571478,50580.076413678406,61412.337323834465,30168.576087386682,33965.68498910694,44143.47330939868,17034.358394510204,67891.61843912078,39295.14791624501,33638.73695087291,70991.4350806207,35280.07938827069,47775.1498722132,27357.23786811555,27310.00511144831,27578.619529975902,41609.25424407856,31517.952133169056
2023-01-17,62990.287169301075,51724.02078354975,65564.89558659491,36237.79567599096,97527.41412361125,31317.74484928069,31926.314180451114,32311.166419633682,19417.15105773047,86105.90714229003,49761.62582759079,37000.001369264,65864.35050463458,47007.25227665879,38930.20659559343,18496.10118811678,31901.272561288726,19618.238840935366,49385.92896223265,31190.288891781955
2023-01-18,49815.807404289226,33392.980304013276,55848.97074450153,33043.87253725493,47269.94099743098,36810.0991227133,39362.34847887298,39430.32180342468,35362.361255001255,74513.55081265503,43639.17602126537,46836.46565377431,62074.88994662085,36633.797642594065,47993.650539722745,28219.18091408143,29250.682757581955,22000.58633640759,47560.598680383315,28348.975943870548
2023-01-19,78797.83142251812,37423.1572086849,50705.20445586449,40738.92466642229,63107.255775004705,29222.90627002185,42802.29809293344,33431.22274673087,27387.808626241607,79194.22666874786,41369.5744130655,49516.70473927369,58076.25119276142,45238.093238609654,41961.44274482446,28135.372242438953,38043.16787093728,26335.19608920356,42856.90231785582,28712.062770294204
2023-01-20,79815.92401477431,43813.096977838715,57654.512280506395,53650.134888026565,124356.53691968796,37132.11978034857,44523.37843485662,39766.62452606518,32065.10772424694,143917.1416154946,70650.13790435615,49159.54048342888,68257.08169575597,53567.21743061126,50546.066495595354,43812.715878267656,48808.675542608544,28877.415262455146,59820.75982720449,30551.798963808404
2023-01-21,108175.02783809928,57172.098288393914,76490.5004449065,60793.681526359396,131706.23003423784,36950.886814735124,62371.87738222535,48872.2792332862,54793.03042873541,48871.74560892519,85313.34426331751,65017.09338832203,124583.90696664633,52605.29572982427,48363.562238785824,46317.29080291414,25791.308016487164,31102.169093705696,72168.07064096238,35737.65225465095
2023-01-22,73160.50589631083,53188.77374807256,54728.51170874901,54862.13684812695,101854.72447670055,35733.20863347109,48585.10888858062,30076.485601150263,38761.51680532254,36656.93786868613,64778.214784475516,69339.29096352149,85734.62603914723,33716.65981521833,42864.17126278221,29711.24508247529,19476.802238158813,24553.587271300155,68306.11439246817,25631.95420367253
2023-01-23,78817.52305435848,46933.48987384039,42148.90447494492,37010.150316936175,65401.37229883593,28360.314371540615,44562.14356139444,25510.823966661974,27303.569304052122,69930.21136400408,56733.2315917429,41377.04909820643,57891.371437345384,39287.108581078995,37290.473089508574,31640.81157186156,23854.57674420494,24988.644375506985,50708.03623129985,26242.896168192718
2023-01-24,56247.77593990395,43474.42802445228,68555.62323010048,40368.1366282213,66254.87054711752,29923.02370292041,46768.0038454121,36010.23213427602,24992.3396838193,49637.565249019666,35837.24502670548,35639.79892400363,91409.39924679614,27925.479084749946,28494.072674668943,31271.148688141475,30298.4369321839,18529.688598983845,52692.376233351635,20184.40196428842
2023-01-25,56090.22194358023,34552.04461076788,69426.33311342845,34040.77036592427,77434.01325520055,35929.91507051856,31595.813469480418,38832.603158969214,27205.558753648136,58200.27769821269,41828.82127375107,41231.221351823195,67647.31114170693,42898.99463449514,34737.382534255274,25700.72070916818,26371.849681568892,21499.495188268967,40920.18624402273,23390.076953803808
2023-01-26,60223.55816095784,31320.057592238605,65644.59390991104,45902.466612586635,57662.34795854179,32445.413584315505,38745.60898931074,27434.827326891875,30533.83971452402,60765.44690045459,77850.98067899764,45547.00414197378,96174.86731562998,38285.96499661282,38050.62115172281,28437.16915853569,23084.46305422279,23233.097009022156,43844.75164988348,17094.562200158776
