atm_id,r_det_TL,r_stoch_TL,delta_TL,delta_pct
1,100257.92119252318,145065.04,44807.11880747683,44.691849057427255
2,64989.58372532604,76914.248,11924.664274673967,18.348577712195745
3,76981.32629957628,93842.417,16861.090700423723,21.90283216842489
4,60771.10857699341,61539.354,768.2454230065923,1.2641622655826177
5,103511.5718297032,139749.85,36238.278170296806,35.00891497417879
6,48455.453252713865,54583.721,6128.267747286132,12.64721994307814
7,55309.16095077618,68187.306,12878.145049223815,23.283927703559005
8,46653.09153617521,49900.691,3247.5994638247867,6.96116668132608
9,42224.040063200715,50494.264,8270.223936799288,19.58652920094918
10,78825.82682261438,94093.451,15267.624177385616,19.36880942808643
11,78460.13024645578,83811.891,5351.760753544222,6.820993970738372
12,63904.57251819358,67140.231,3235.658481806422,5.0632659828609805
13,112188.41817623722,133216.84,21028.42182376278,18.74384376355958
14,51472.41710825531,53896.733,2424.3158917446926,4.709932091679201
15,58198.56562393975,68311.952,10113.386376060254,17.3773808128016
16,44155.4059699093,53829.438,9674.032030090704,21.909054661808096
17,37038.356973649315,47188.196,10149.839026350688,27.40358875414404
18,33529.82474114764,37661.033,4131.208258852363,12.320995682934672
19,67870.40079279346,74717.824,6847.423207206535,10.088968279576745
20,36810.496102546225,45855.519,9045.022897453775,24.571858179406934
