Instance,Domain,Avg Rank Diff,Std Dev
A-n32-k5,atm,0.24086021505376345,0.26842609541125095
A-n32-k5,cargo,0.24086021505376345,0.26842609541125095
A-n32-k5,cold_chain,0.24086021505376345,0.26842609541125095
A-n32-k5,grocery,0.24086021505376345,0.26842609541125095
B-n31-k5,atm,0.06436781609195404,0.08433561567115602
B-n31-k5,cargo,0.06436781609195404,0.08433561567115602
B-n31-k5,cold_chain,0.06436781609195404,0.08433561567115602
B-n31-k5,grocery,0.06436781609195404,0.08433561567115602
E-n13-k4,atm,0.3333333333333333,0.2461829819586655
E-n13-k4,cargo,0.3333333333333333,0.2461829819586655
E-n13-k4,cold_chain,0.3333333333333333,0.2461829819586655
E-n13-k4,grocery,0.3333333333333333,0.2461829819586655
P-n19-k2,atm,0.2810457516339869,0.3403495261362929
P-n19-k2,cargo,0.2810457516339869,0.3403495261362929
P-n19-k2,cold_chain,0.2810457516339869,0.3403495261362929
P-n19-k2,grocery,0.2810457516339869,0.3403495261362929
