Instance,Domain,Exposure Rank Diff From Grouping,Grouping Customer Count,Exposure Rank Diff From Ordering,Ordering Customer Count,Exposure Rank Diff Other
A-n32-k5,atm,,0,0.3416666666666667,20,0.05757575757575757
A-n32-k5,cargo,,0,0.3416666666666667,20,0.05757575757575757
A-n32-k5,cold_chain,,0,0.3416666666666667,20,0.05757575757575757
A-n32-k5,grocery,,0,0.3416666666666667,20,0.05757575757575757
B-n31-k5,atm,0.07724137931034482,25,,0,0.0
B-n31-k5,cargo,0.07724137931034482,25,,0,0.0
B-n31-k5,cold_chain,0.07724137931034482,25,,0,0.0
B-n31-k5,grocery,0.07724137931034482,25,,0,0.0
E-n13-k4,atm,0.3333333333333333,12,,0,
E-n13-k4,cargo,0.3333333333333333,12,,0,
E-n13-k4,cold_chain,0.3333333333333333,12,,0,
E-n13-k4,grocery,0.3333333333333333,12,,0,
P-n19-k2,atm,,0,0.588235294117647,8,0.03529411764705883
P-n19-k2,cargo,,0,0.588235294117647,8,0.03529411764705883
P-n19-k2,cold_chain,,0,0.588235294117647,8,0.03529411764705883
P-n19-k2,grocery,,0,0.588235294117647,8,0.03529411764705883
