Domain,Dropped Instance,n remaining,unique x remaining,Pearson r after drop,Pearson p after drop,Full n4 r,Full n4 p,Degenerate Design,Note
atm,A-n32-k5,3,3,0.9645559837796882,0.1700034612681211,0.9608862865893774,0.03911371341062253,False,"n=3, unstable but not single-level"
atm,B-n31-k5,3,2,1.0,0.0,0.9608862865893774,0.03911371341062253,True,only one non-zero grouping level remains
atm,E-n13-k4,3,2,-1.0,0.0,0.9608862865893774,0.03911371341062253,True,only one non-zero grouping level remains
atm,P-n19-k2,3,3,0.9645559837796881,0.1700034612681211,0.9608862865893774,0.03911371341062253,False,"n=3, unstable but not single-level"
cargo,A-n32-k5,3,3,0.9837171729369352,0.11504058678076125,0.9826404688379498,0.017359531162050246,False,"n=3, unstable but not single-level"
cargo,B-n31-k5,3,2,1.0,0.0,0.9826404688379498,0.017359531162050246,True,only one non-zero grouping level remains
cargo,E-n13-k4,3,2,1.0,0.0,0.9826404688379498,0.017359531162050246,True,only one non-zero grouping level remains
cargo,P-n19-k2,3,3,0.9837171729369351,0.11504058678076205,0.9826404688379498,0.017359531162050246,False,"n=3, unstable but not single-level"
cold_chain,A-n32-k5,3,3,0.9263315985384097,0.24588874485843715,0.9334644233119053,0.06653557668809462,False,"n=3, unstable but not single-level"
cold_chain,B-n31-k5,3,2,0.9945913058455258,0.06624258541458358,0.9334644233119053,0.06653557668809462,True,only one non-zero grouping level remains
cold_chain,E-n13-k4,3,2,-0.7951685601092287,0.41476467254911337,0.9334644233119053,0.06653557668809462,True,only one non-zero grouping level remains
cold_chain,P-n19-k2,3,3,0.9600701898889732,0.1805092858803152,0.9334644233119053,0.06653557668809462,False,"n=3, unstable but not single-level"
grocery,A-n32-k5,3,3,0.9733994889347605,0.14716602015952002,0.9710589443109477,0.028941055689052142,False,"n=3, unstable but not single-level"
grocery,B-n31-k5,3,2,1.0,0.0,0.9710589443109477,0.028941055689052142,True,only one non-zero grouping level remains
grocery,E-n13-k4,3,2,-1.0,0.0,0.9710589443109477,0.028941055689052142,True,only one non-zero grouping level remains
grocery,P-n19-k2,3,3,0.9733994889347606,0.14716602015951938,0.9710589443109477,0.028941055689052142,False,"n=3, unstable but not single-level"
