Domain,Instance,Grouping Exposure Diff,Stockout Diff Signed,Pearson r full n4,Pearson p full n4,Leverage,Cook's Distance,Residual,High Cook Flag
atm,E-n13-k4,0.3333333333333333,0.07374999999999998,0.9608862865893774,0.03911371341062253,0.9601903315145065,24.119525935374316,0.0035945208107214244,True
atm,B-n31-k5,0.0772413793103448,-0.0038333333333332997,0.9608862865893774,0.03911371341062253,0.25861121748556193,0.348819976218788,-0.015512068974839428,False
atm,A-n32-k5,0.0,0.0,0.9608862865893774,0.03911371341062253,0.39059922549996584,0.11506567002982344,0.005958774082058977,False
atm,P-n19-k2,0.0,0.0,0.9608862865893774,0.03911371341062253,0.39059922549996584,0.11506567002982344,0.005958774082058977,False
cargo,E-n13-k4,0.3333333333333333,0.07999999999999999,0.9826404688379498,0.017359531162050246,0.9601903315145065,24.119525935374682,0.0025262157189232387,True
cargo,B-n31-k5,0.0772413793103448,0.0038333333333332997,0.9826404688379498,0.017359531162050246,0.25861121748556193,0.3488199762187879,-0.010901823787019808,False
cargo,A-n32-k5,0.0,0.0,0.9826404688379498,0.017359531162050246,0.39059922549996584,0.11506567002982314,0.004187804034048272,False
cargo,P-n19-k2,0.0,0.0,0.9826404688379498,0.017359531162050246,0.39059922549996584,0.11506567002982314,0.004187804034048272,False
cold_chain,E-n13-k4,0.3333333333333333,0.06333333333333341,0.9334644233119053,0.06653557668809462,0.9601903315145065,22.496351276349376,0.0034074309964616453,True
cold_chain,B-n31-k5,0.0772413793103448,0.0021666666666667056,0.9334644233119053,0.06653557668809462,0.25861121748556193,0.3253453960186177,-0.01470468733592073,False
cold_chain,P-n19-k2,0.0,0.012777777777777777,0.9334644233119053,0.06653557668809462,0.39059922549996584,0.26597252266140103,0.008892355768295843,False
cold_chain,A-n32-k5,0.0,0.006290322580645158,0.9334644233119053,0.06653557668809462,0.39059922549996584,0.01945348273617363,0.002404900571163224,False
grocery,E-n13-k4,0.3333333333333333,0.0720833333333333,0.9710589443109477,0.028941055689052142,0.9601903315145065,24.119525935374202,0.002984145387662576,True
grocery,B-n31-k5,0.0772413793103448,-0.0006666666666665932,0.9710589443109477,0.028941055689052142,0.25861121748556193,0.348819976218788,-0.012878008369377176,False
grocery,A-n32-k5,0.0,0.0,0.9710589443109477,0.028941055689052142,0.39059922549996584,0.11506567002982357,0.004946931490857278,False
grocery,P-n19-k2,0.0,0.0,0.9710589443109477,0.028941055689052142,0.39059922549996584,0.11506567002982357,0.004946931490857278,False
