Set,Domain,Rows,Instances,Pearson r,p-value,Mean x,Mean y,Max x,Max y
n20_overlap_with_original,atm,3,3,-1.0,0.0,0.025747126436781603,-0.0012777777777777666,0.0772413793103448,0.0
n20_remainder,atm,17,17,-0.06618872754882972,0.8007378914154889,0.23862825527499365,-0.0033511508178649656,0.4285714285714286,0.007099999999999995
original_n4,atm,4,4,0.9608862865893774,0.03911371341062253,0.10264367816091953,0.01747916666666667,0.3333333333333333,0.07374999999999998
n20_overlap_with_original,cargo,3,3,1.0,0.0,0.025747126436781603,0.0012777777777777666,0.0772413793103448,0.0038333333333332997
n20_remainder,cargo,17,17,-0.06322844017692676,0.8094925609434226,0.23862825527499365,-0.003190579771796843,0.4285714285714286,0.012796610169491462
original_n4,cargo,4,4,0.9826404688379498,0.017359531162050246,0.10264367816091953,0.020958333333333322,0.3333333333333333,0.07999999999999999
n20_overlap_with_original,cold_chain,3,3,-0.7951685601092287,0.41476467254911337,0.025747126436781603,0.00707825567502988,0.0772413793103448,0.012777777777777777
n20_remainder,cold_chain,17,17,-0.09442522301163025,0.7184901893393715,0.23862825527499365,-0.0020745137771905654,0.4285714285714286,0.012500000000000011
original_n4,cold_chain,4,4,0.9334644233119053,0.06653557668809462,0.10264367816091953,0.021142025089605762,0.3333333333333333,0.06333333333333341
n20_overlap_with_original,grocery,3,3,-1.0,0.0,0.025747126436781603,-0.00022222222222219776,0.0772413793103448,0.0
n20_remainder,grocery,17,17,-0.15814127110917803,0.5443803019784843,0.23862825527499365,-0.004144282763743575,0.4285714285714286,0.006328124999999962
original_n4,grocery,4,4,0.9710589443109477,0.028941055689052142,0.10264367816091953,0.017854166666666678,0.3333333333333333,0.0720833333333333
