Domain,Size Stratum,n,Instance Count,Pearson r,p-value,Mean Grouping Exposure Diff,Mean Signed Stockout Diff,Unique x count,Interpretable
atm,small_n_lt_20,2,2,,,0.0,0.0,1,False
atm,medium_20_50,10,10,-0.4796977739944553,0.1606130908785306,0.18718293303186861,-0.0031322905175583753,8,True
atm,large_51_99,8,8,0.5813632785724069,0.13065366592323235,0.28276154858331876,-0.0036849990076817454,8,True
cargo,small_n_lt_20,2,2,,,0.0,0.0,1,False
cargo,medium_20_50,10,10,-0.5055114135219857,0.13608305872549487,0.18718293303186861,-0.002808125344732493,8,True
cargo,large_51_99,8,8,0.47631203438219794,0.23279927977421663,0.28276154858331876,-0.0027906586674860123,8,True
cold_chain,small_n_lt_20,2,2,,,0.0,0.009222222222222243,1,False
cold_chain,medium_20_50,10,10,-0.391534529785503,0.26318032433092525,0.18718293303186861,-0.0009819327421861895,8,True
cold_chain,large_51_99,8,8,0.5703086727091589,0.1399141590838903,0.28276154858331876,-0.00283213552621657,8,True
grocery,small_n_lt_20,2,2,,,0.0,0.0,1,False
grocery,medium_20_50,10,10,-0.682163781648328,0.02977115552866654,0.18718293303186861,-0.0033598180334787203,8,True
grocery,large_51_99,8,8,0.4909326373021465,0.21670986256444777,0.28276154858331876,-0.004690161664440022,8,True
